,Unnamed: 0,language,n_speakers,code,script
0,0,Swahili,80,swa,swa_Latn
1,1,Hausa,70,hau,hau_Latn
2,2,Amharic,57,amh,amh_Ethi
3,3,Yoruba,45,yor,yor_Latn
4,4,Oromo,40,orm,orm_Latn
5,5,Igbo,40,ibo,ibo_Latn
6,6,Zulu,27,zul,zul_Latn
7,7,Malagasy,25,mlg,mlg_Latn
8,8,Fula,25,ful,ful_Latn
9,9,Somali,22,som,som_Latn
10,10,Shona,14,sna,sna_Latn
11,11,Rundi (Kirundi),13,run,run_Latn
12,12,Kinyarwanda,12,kin,kin_Latn
13,13,Chichewa,12,nya,nya_Latn
14,14,Akan,12,aka,aka_Latn
15,15,Tigrinya,9,tir,tir_Ethi
16,16,Lingala,8,lin,lin_Latn
